n_features,n_samples,obs_per_village,feautre_power,count_accuracy,mse_naive,mse_model,count_accuracy_optimal,mse_naive_optimal,mse_model_optimal
20,100,2,1,0.56,46.207738927681255,17.702701464261878,0.68,46.207738927681255,10.83985889359364
20,100,4,1,0.72,16.45106970193984,20.44503883405613,0.88,16.45106970193984,0.9729394944967156
20,96,6,1,0.5,1.3399493197813404,0.9775980617717844,0.75,1.3399493197813404,0.6626155894528253
20,96,8,1,0.6666666666666666,4.045332145962035,1.2338817245897218,0.8333333333333334,4.045332145962035,0.7706632281524265
20,100,10,1,0.6,1.5319614947472129,0.517048391321326,0.6,1.5319614947472129,0.43785097012705015
20,96,12,1,0.75,0.8892984756433611,0.4668578079547719,0.875,0.8892984756433611,0.35142918247611
20,98,14,1,0.8571428571428571,2.141691721669034,0.7106955876019703,0.7142857142857143,2.141691721669034,0.2974243950821736
20,96,16,1,0.8333333333333334,1.4677363886471788,0.27596024857071316,0.8333333333333334,1.4677363886471788,0.44044937640058096
20,90,18,1,1.0,0.3622779808707417,0.06196472965248665,0.8,0.3622779808707417,0.14488674964248077
20,500,2,1,0.548,55.11674693197394,50.256159191251264,0.72,55.11674693197394,27.30820117138995
20,500,4,1,0.544,7.077983008401341,3.4593845984075675,0.728,7.077983008401341,1.2014801072894756
20,498,6,1,0.6385542168674698,2.840786496603528,1.7949017116076138,0.7590361445783133,2.840786496603528,0.7021100376231092
20,496,8,1,0.5161290322580645,2.705488620220734,3.6052203498559123,0.7419354838709677,2.705488620220734,1.3860355937248674
20,500,10,1,0.66,1.6370548866721422,0.7502621671413148,0.82,1.6370548866721422,0.47471874822999555
20,492,12,1,0.7560975609756098,8.248199453370004,0.6620921146846133,0.926829268292683,8.248199453370004,0.14721219192925675
20,490,14,1,0.5142857142857142,1.5931821252068497,2.0993543828646897,0.7714285714285715,1.5931821252068497,0.16498258370696414
20,496,16,1,0.5161290322580645,4.559624874571681,2.3126225916198213,0.7419354838709677,4.559624874571681,0.3840893781679785
20,486,18,1,0.6666666666666666,2.7133822557993623,0.8245088282920655,0.8888888888888888,2.7133822557993623,0.27793027197651937
20,2000,2,1,0.559,11.656965406854665,8.159226726265231,0.649,11.656965406854665,5.50057780359446
20,2000,4,1,0.474,3.032424770724972,4.354812504628515,0.662,3.032424770724972,1.4049200611772308
20,1998,6,1,0.7117117117117117,5.003715935140423,1.4884566002323634,0.7357357357357357,5.003715935140423,1.0065803445748827
20,2000,8,1,0.572,2.142491211895416,1.7048530059843099,0.748,2.142491211895416,0.5616139521483824
20,2000,10,1,0.64,3.181579351752191,1.4162590142629379,0.785,3.181579351752191,0.39877029585154
20,1992,12,1,0.6024096385542169,3.138943670906123,2.005486254834472,0.8192771084337349,3.138943670906123,0.3047886306136589
20,1988,14,1,0.5140845070422535,1.48106834976623,1.8665199987677412,0.6619718309859155,1.48106834976623,0.6262127491655478
20,2000,16,1,0.536,3.3440871004994475,2.025011870135755,0.768,3.3440871004994475,0.4630862927011071
20,1998,18,1,0.7117117117117117,1.776272507829443,0.5776060631680462,0.8468468468468469,1.776272507829443,0.29443194988527854
20,5000,2,1,0.4944,12.755614943398255,13.674680034820703,0.5944,12.755614943398255,7.510092305690876
20,5000,4,1,0.6592,8.173538844025655,2.910037586551716,0.7472,8.173538844025655,1.257518041315786
20,4998,6,1,0.539015606242497,1.63809450521444,1.5810236887257239,0.6602641056422569,1.63809450521444,0.7072061211623737
20,5000,8,1,0.6896,3.85454154608952,1.1903732168186838,0.8016,3.85454154608952,0.4216962236753099
20,5000,10,1,0.572,5.70786247878357,3.708725117539853,0.774,5.70786247878357,0.8165159079675811
20,4992,12,1,0.5817307692307693,2.6418286548059813,1.8728880551560292,0.8125,2.6418286548059813,0.31415923770894477
20,4998,14,1,0.5210084033613446,2.439520131546668,2.661432991280753,0.6946778711484594,2.439520131546668,0.7446877064366668
20,4992,16,1,0.42628205128205127,1.7666339687963675,2.8721989323606003,0.6506410256410257,1.7666339687963675,0.8822920087107881
20,4986,18,1,0.5126353790613718,0.6617199083199976,0.7534387265779415,0.6931407942238267,0.6617199083199976,0.24724690177115843
20,10000,2,1,0.4916,12.75864989344044,11.886501151262891,0.601,12.75864989344044,6.858871843643612
20,10000,4,1,0.602,6.388577128859937,4.1743060380198225,0.742,6.388577128859937,1.2064340285690425
20,9996,6,1,0.6074429771908764,3.5894886382432265,2.153728888229155,0.7304921968787516,3.5894886382432265,0.7693115077330666
20,10000,8,1,0.5528,5.1198291547679595,4.502997437503513,0.736,5.1198291547679595,1.3976128267495824
20,10000,10,1,0.592,3.6564964798155546,2.888677803786087,0.747,3.6564964798155546,0.8240651502628187
20,9996,12,1,0.6974789915966386,4.263523844655098,1.1408798958955846,0.8175270108043218,4.263523844655098,0.37007967721285356
20,9996,14,1,0.5224089635854342,2.280808303868696,2.4075592941106514,0.696078431372549,2.280808303868696,0.7364794086647403
20,10000,16,1,0.6256,1.8653598625173302,0.8528383766755864,0.7968,1.8653598625173302,0.22231715687720308
20,9990,18,1,0.6108108108108108,1.5891326581665666,1.0823666172659545,0.7675675675675676,1.5891326581665666,0.23193894261511486
20,50000,2,1,0.50916,5.547329370790621,5.16754563620849,0.59888,5.547329370790621,3.297781485421408
20,50000,4,1,0.49752,3.166943384252264,3.521907853765984,0.64824,3.166943384252264,1.4611098610870772
20,49998,6,1,0.5076203048121924,5.700614511465524,6.247108394133572,0.6656666266650666,5.700614511465524,2.3468164355416463
20,50000,8,1,0.6144,6.159326293937748,3.257944050733383,0.7384,6.159326293937748,1.3674831991043042
20,50000,10,1,0.6508,2.8200424990421133,1.125746683596027,0.754,2.8200424990421133,0.4782915425722789
20,49992,12,1,0.4769563130100816,1.8885036884860575,3.102843668688134,0.7193951032165147,1.8885036884860575,0.5791055859918487
20,49994,14,1,0.5317838140576869,2.9164818722136228,2.8861350069352234,0.7605712685522262,2.9164818722136228,0.4920291285369243
20,50000,16,1,0.64576,1.9851233511917008,0.9785114210317084,0.78112,1.9851233511917008,0.2902943535669176
20,49986,18,1,0.5938062657544112,1.4359503717240638,1.0235574418015292,0.7709758732445084,1.4359503717240638,0.21734089965322098
21,100,2,1,0.52,23.66838530700212,22.790311912211756,0.72,23.66838530700212,8.306652619766918
21,100,4,1,0.64,19.057391659423683,10.252270460647132,0.76,19.057391659423683,8.466956690573939
21,96,6,1,0.75,2.1058767533086717,0.6043460462555318,0.75,2.1058767533086717,0.5329543483274911
21,96,8,1,0.5833333333333334,0.9262746565206248,1.0589778574238593,0.4166666666666667,0.9262746565206248,0.6146885002905543
21,100,10,1,0.5,1.3012181930050777,1.0081969355794,0.7,1.3012181930050777,0.4939385881893218
21,96,12,1,1.0,2.0918808786205174,0.429454066191548,0.875,2.0918808786205174,0.5461917256879705
21,98,14,1,0.8571428571428571,1.0280740664626271,0.6474289016153867,0.7142857142857143,1.0280740664626271,0.49319989499204137
21,96,16,1,0.5,0.6158167485586588,0.583063926272837,0.6666666666666666,0.6158167485586588,0.15466857745981066
21,90,18,1,0.4,1.6203173896387226,0.6424446303277374,0.4,1.6203173896387226,0.18111655498787463
21,500,2,1,0.584,9.042807220782924,7.60331997573843,0.652,9.042807220782924,6.806982093872097
21,500,4,1,0.648,3.101262237648606,2.9185368154766818,0.672,3.101262237648606,1.037374031958821
21,498,6,1,0.5903614457831325,3.512835397670104,1.9182866879367395,0.7349397590361446,3.512835397670104,0.806322299046068
21,496,8,1,0.6451612903225806,5.727739094880209,7.097387711636493,0.8709677419354839,5.727739094880209,0.9915015388252383
21,500,10,1,0.52,3.136365190676539,2.7935301057741633,0.68,3.136365190676539,1.1566503112735587
